11/3/2024,China Ferry Terminal,Arrival,682,409,249,1340
9/12/2024,China Ferry Terminal,Departure,682,452,55,1189
30-12-2024,China Ferry Terminal,Departure,682,735,51,1468
10/4/2024,China Ferry Terminal,Arrival,677,531,271,1479
20-06-2024,China Ferry Terminal,Departure,677,483,139,1299
10/1/2024,China Ferry Terminal,Arrival,676,943,218,1837
31-01-2024,China Ferry Terminal,Departure,674,1476,229,2379
21-03-2024,China Ferry Terminal,Arrival,673,575,252,1500
23-05-2024,China Ferry Terminal,Departure,673,521,281,1475
30-05-2024,China Ferry Terminal,Departure,672,526,241,1439
17-06-2024,China Ferry Terminal,Departure,671,615,140,1426
25-11-2024,China Ferry Terminal,Arrival,671,432,68,1171
7/3/2024,China Ferry Terminal,Departure,670,487,264,1421
18-10-2024,China Ferry Terminal,Departure,670,335,57,1062
9/12/2024,China Ferry Terminal,Arrival,670,605,67,1342
13-06-2024,China Ferry Terminal,Arrival,669,630,153,1452
24-12-2024,China Ferry Terminal,Arrival,669,772,67,1508
29-02-2024,China Ferry Terminal,Departure,667,516,245,1428
18-01-2024,China Ferry Terminal,Departure,666,866,295,1827
8/5/2024,China Ferry Terminal,Departure,666,481,217,1364
12/3/2024,China Ferry Terminal,Departure,663,518,198,1379
31-12-2024,China Ferry Terminal,Departure,663,542,31,1236
27-05-2024,China Ferry Terminal,Arrival,662,440,205,1307
2/5/2024,China Ferry Terminal,Departure,661,1838,255,2754
6/1/2024,China Ferry Terminal,Arrival,660,1041,261,1962
20-02-2024,China Ferry Terminal,Arrival,660,840,211,1711
14-03-2024,China Ferry Terminal,Departure,660,602,275,1537
5/5/2024,China Ferry Terminal,Departure,660,1108,373,2141
8/6/2024,China Ferry Terminal,Arrival,660,1204,198,2062
20-09-2024,China Ferry Terminal,Departure,659,327,31,1017
27-02-2024,China Ferry Terminal,Departure,658,700,279,1637
16-04-2024,China Ferry Terminal,Arrival,658,630,230,1518
19-08-2024,China Ferry Terminal,Departure,657,639,116,1412
5/8/2024,China Ferry Terminal,Arrival,656,862,72,1590
1/2/2024,China Ferry Terminal,Arrival,654,1562,200,2416
25-04-2024,China Ferry Terminal,Departure,653,522,172,1347
13-01-2024,China Ferry Terminal,Arrival,652,1210,247,2109
29-05-2024,China Ferry Terminal,Departure,650,581,343,1574
13-12-2024,China Ferry Terminal,Arrival,650,743,87,1480
30-01-2024,China Ferry Terminal,Arrival,648,1189,215,2052
3/2/2024,China Ferry Terminal,Arrival,647,1933,264,2844
31-05-2024,China Ferry Terminal,Arrival,646,440,195,1281
21-02-2024,China Ferry Terminal,Arrival,645,949,190,1784
30-05-2024,China Ferry Terminal,Arrival,645,489,231,1365
27-02-2024,China Ferry Terminal,Arrival,644,587,256,1487
17-01-2024,China Ferry Terminal,Arrival,642,895,184,1721
28-02-2024,China Ferry Terminal,Departure,642,587,384,1613
17-04-2024,China Ferry Terminal,Arrival,642,660,302,1604
15-07-2024,China Ferry Terminal,Departure,640,677,147,1464
28-05-2024,China Ferry Terminal,Departure,637,449,302,1388
27-01-2024,China Ferry Terminal,Arrival,634,1565,214,2413
10/3/2024,China Ferry Terminal,Departure,634,842,385,1861
23-05-2024,China Ferry Terminal,Arrival,634,447,257,1338
12/10/2024,China Ferry Terminal,Departure,634,301,33,968
26-06-2024,China Ferry Terminal,Departure,633,441,113,1187
20-02-2024,China Ferry Terminal,Departure,632,1159,177,1968
28-02-2024,China Ferry Terminal,Arrival,632,589,360,1581
1/5/2024,China Ferry Terminal,Departure,632,1015,193,1840
11/1/2024,China Ferry Terminal,Departure,631,914,200,1745
16-01-2024,China Ferry Terminal,Departure,631,844,163,1638
9/8/2024,China Ferry Terminal,Arrival,631,787,129,1547
8/1/2024,China Ferry Terminal,Arrival,630,730,183,1543
9/3/2024,China Ferry Terminal,Arrival,629,930,271,1830
5/8/2024,China Ferry Terminal,Departure,629,785,113,1527
4/11/2024,China Ferry Terminal,Departure,629,296,74,999
27-03-2024,China Ferry Terminal,Arrival,628,662,239,1529
19-07-2024,China Ferry Terminal,Arrival,628,748,97,1473
7/10/2024,China Ferry Terminal,Arrival,628,784,56,1468
16-12-2024,China Ferry Terminal,Arrival,628,613,68,1309
24-01-2024,China Ferry Terminal,Departure,626,1152,307,2085
19-02-2024,China Ferry Terminal,Departure,626,1379,177,2182
24-06-2024,China Ferry Terminal,Arrival,625,451,104,1180
7/10/2024,China Ferry Terminal,Departure,625,761,67,1453
26-03-2024,China Ferry Terminal,Arrival,624,678,269,1571
2/12/2024,China Ferry Terminal,Departure,624,514,57,1195
11/4/2024,China Ferry Terminal,Arrival,623,624,431,1678
7/6/2024,China Ferry Terminal,Arrival,623,538,166,1327
17-06-2024,China Ferry Terminal,Arrival,623,495,119,1237
29-08-2024,China Ferry Terminal,Arrival,623,623,90,1336
17-07-2024,China Ferry Terminal,Departure,622,650,142,1414
30-11-2024,China Ferry Terminal,Arrival,621,1398,57,2076
7/12/2024,China Ferry Terminal,Arrival,621,1221,108,1950
25-07-2024,China Ferry Terminal,Departure,620,837,115,1572
25-01-2024,China Ferry Terminal,Departure,619,1181,316,2116
6/2/2024,China Ferry Terminal,Arrival,618,2137,172,2927
18-03-2024,China Ferry Terminal,Departure,618,416,233,1267
9/4/2024,China Ferry Terminal,Departure,618,1184,251,2053
22-02-2024,China Ferry Terminal,Departure,617,869,280,1766
16-09-2024,China Ferry Terminal,Departure,617,656,65,1338
3/1/2024,China Ferry Terminal,Arrival,616,644,232,1492
14-03-2024,China Ferry Terminal,Arrival,616,552,236,1404
26-05-2024,China Ferry Terminal,Departure,616,852,309,1777
